display_name,fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,source_server,subject_id,task_domain,task_group,valid_sampling_fraction
SynMSE,mr,0.029384189181857638,7.643098479403213,0.5780037138965162,10.963471412658691,21.621295195613953,B06_synmse,ct,3,4,30.621270465850827,MR_fixed__CT_moving__0002_tcia,13.488841444253922,0.6648566722869873,server1,0002_tcia,l2r_mrct,mr_target,0.9990230984157986
SynMSE,mr,0.025871107313368055,37.0356655111842,0.11317557615420087,11.692545890808105,74.13590170554419,B06_synmse,ct,3,4,32.69999313354492,MR_fixed__CT_moving__0004_tcia,11.737699940800667,0.6656209826469421,server1,0004_tcia,l2r_mrct,mr_target,0.9964530097113715
SynMSE,mr,0.017368062337239584,8.872212681874833,0.4577159649545673,11.795990943908691,26.18734522726961,B06_synmse,ct,4,4,25.573742675781247,MR_fixed__CT_moving__0006_tcia,12.18561895005405,0.6314870119094849,server1,0006_tcia,l2r_mrct,mr_target,0.9971555921766493
SynMSE,mr,0.0008129543728298611,7.3372281396551315,0.6037684049283946,14.105905532836914,20.193310862608477,B06_synmse,ct,4,4,33.23365802764893,MR_fixed__CT_moving__0008_tcia,12.157443246804178,0.482814222574234,server1,0008_tcia,l2r_mrct,mr_target,0.975333489312066
SynMSE,mr,0.02451171875,11.735090348067793,0.46575057603492953,10.68455696105957,37.666520067348735,B06_synmse,ct,4,4,25.520862770080566,MR_fixed__CT_moving__0010_tcia,11.709854415617883,0.7293263673782349,server1,0010_tcia,l2r_mrct,mr_target,0.9936260647243924
SynMSE,mr,0.004416571723090278,15.626732039563468,0.28576208271476006,8.992666244506836,40.94253526724286,B06_synmse,ct,4,4,20.39371919631958,MR_fixed__CT_moving__0012_tcia,12.793938630260527,0.4877159893512726,server1,0012_tcia,l2r_mrct,mr_target,0.9571261935763888
SynMSE,mr,0.010264248318142362,26.45208555735983,0.20074477221910833,11.870662689208984,68.00637815679784,B06_synmse,ct,4,4,29.29350032806396,MR_fixed__CT_moving__0014_tcia,12.72012292407453,0.5086929202079773,server1,0014_tcia,l2r_mrct,mr_target,0.99647216796875
SynMSE,mr,0.0033479478624131942,9.602472301702225,0.470767475759412,13.399828910827637,25.143031815306124,B06_synmse,ct,4,4,31.694115734100336,MR_fixed__CT_moving__0016_tcia,11.284571298863739,0.6482736468315125,server1,0016_tcia,l2r_mrct,mr_target,0.9822146945529514
Locor,mr,0.0,3.3373741083261153,0.8037873276969957,59.77891540527344,17.552598915418795,B07_locor,ct,3,4,112.1572422027588,MR_fixed__CT_moving__0002_tcia,78.35713907890022,0.38949882984161377,server1,0002_tcia,l2r_mrct,mr_target,0.696793450249566
Locor,mr,0.0,48.713047205757,0.08786715403419236,51.847068786621094,85.45873837812809,B07_locor,ct,3,4,97.59955024719238,MR_fixed__CT_moving__0004_tcia,77.46243439195678,0.4852122962474823,server1,0004_tcia,l2r_mrct,mr_target,0.7971542358398438
Locor,mr,0.0,12.75147435987251,0.3833826086674563,43.029998779296875,44.197454409798006,B07_locor,ct,4,4,60.8756196975708,MR_fixed__CT_moving__0006_tcia,77.72033512266353,1.1753300428390503,server1,0006_tcia,l2r_mrct,mr_target,0.9776465521918403
Locor,mr,0.0,1.380304608257366,0.9170368547916572,30.557079315185547,4.668705749749546,B07_locor,ct,4,4,52.136916542053214,MR_fixed__CT_moving__0008_tcia,78.74449840188026,1.1233230829238892,server1,0008_tcia,l2r_mrct,mr_target,0.9757663302951389
Locor,mr,0.0,1.6522270330805575,0.9017455213433769,43.02836227416992,7.3383095436647325,B07_locor,ct,4,4,70.3307762145996,MR_fixed__CT_moving__0010_tcia,77.05963206198066,0.860427737236023,server1,0010_tcia,l2r_mrct,mr_target,0.8066658867730034
Locor,mr,0.0,2.4928106465261552,0.80562743693532,38.33723068237305,12.528069019579373,B07_locor,ct,4,4,62.83224067687987,MR_fixed__CT_moving__0012_tcia,75.34014957398176,0.4150671660900116,server1,0012_tcia,l2r_mrct,mr_target,0.7182049221462674
Locor,mr,0.0,31.26149892624786,0.11721312320397335,27.020559310913086,81.87808850287689,B07_locor,ct,4,4,49.83396320343017,MR_fixed__CT_moving__0014_tcia,77.81925072800368,0.2896377146244049,server1,0014_tcia,l2r_mrct,mr_target,0.9118601481119791
Locor,mr,0.0,1.709733536553057,0.9001549351833474,22.81541633605957,6.106395752988369,B07_locor,ct,4,4,41.87833099365234,MR_fixed__CT_moving__0016_tcia,77.5043098111637,0.28335651755332947,server1,0016_tcia,l2r_mrct,mr_target,0.8750520494249132
DGMIR-U,mr,0.006566874186197917,8.355899421434469,0.5228038117753434,24.674755096435547,24.696520458607864,B08_dgmir_u,ct,3,4,52.25932350158691,MR_fixed__CT_moving__0002_tcia,12.231948111671954,0.595427930355072,server1,0002_tcia,l2r_mrct,mr_target,0.868105231391059
DGMIR-U,mr,0.011802503797743056,40.70378257942076,0.1041328173471849,22.74481773376465,75.2390960922606,B08_dgmir_u,ct,3,4,49.68195056915283,MR_fixed__CT_moving__0004_tcia,11.102807506918907,0.6109896302223206,server1,0004_tcia,l2r_mrct,mr_target,0.8723975287543403
DGMIR-U,mr,0.00219573974609375,7.754155848592847,0.540183275951883,14.471854209899902,26.023853399150767,B08_dgmir_u,ct,4,4,31.18460121154785,MR_fixed__CT_moving__0006_tcia,10.946017547044903,0.6223006248474121,server1,0006_tcia,l2r_mrct,mr_target,0.9997287326388888
DGMIR-U,mr,0.0039215087890625,6.40994345095219,0.6295449096902482,15.278279304504395,21.59912365117701,B08_dgmir_u,ct,4,4,29.419172763824463,MR_fixed__CT_moving__0008_tcia,10.717679229099303,0.6339638233184814,server1,0008_tcia,l2r_mrct,mr_target,0.8892259385850695
DGMIR-U,mr,0.004534403483072917,11.167451666654358,0.468819195288117,19.069211959838867,40.24004292843944,B08_dgmir_u,ct,4,4,36.28292102813721,MR_fixed__CT_moving__0010_tcia,10.392076443880796,0.618318498134613,server1,0010_tcia,l2r_mrct,mr_target,0.7966350979275174
DGMIR-U,mr,0.001411098904079861,19.71609892831095,0.19411164980090712,26.78233528137207,45.765328592504375,B08_dgmir_u,ct,4,4,52.42057590484619,MR_fixed__CT_moving__0012_tcia,10.850306820124388,0.625787615776062,server1,0012_tcia,l2r_mrct,mr_target,0.7495559692382813
DGMIR-U,mr,0.005976189507378472,27.28844379665408,0.14993799264421204,19.37467384338379,71.52331447312345,B08_dgmir_u,ct,4,4,41.85625095367432,MR_fixed__CT_moving__0014_tcia,11.225619731005281,0.5389960408210754,server1,0014_tcia,l2r_mrct,mr_target,0.8680106268988715
DGMIR-U,mr,0.004819742838541667,14.445173817999237,0.2859972151682071,27.778919219970703,36.85550086869608,B08_dgmir_u,ct,4,4,61.77130908966065,MR_fixed__CT_moving__0016_tcia,11.028735607862473,0.6340427398681641,server1,0016_tcia,l2r_mrct,mr_target,0.7963712904188368
M2M-Reg,mr,0.0,8.727395913684914,0.5152345741129978,13.938820838928223,24.18036035647545,B09_m2m_reg,ct,3,4,38.54393272399901,MR_fixed__CT_moving__0002_tcia,16.164486846886575,0.5564435124397278,server1,0002_tcia,l2r_mrct,mr_target,0.9026028103298611
